Wavelength,Intensity
380,3.8238935091403895e-13
381,1.1470023628267951e-14
382,0.0
383,4.7501083477956454e-15
384,1.0414338220665994e-14
385,0.0
386,5.154759192393154e-16
387,0.0
388,0.0
389,0.0
390,0.0
391,8.939269547395763e-15
392,6.328092608920665e-15
393,1.3342042566532975e-15
394,0.0
395,7.185028454087175e-15
396,0.0
397,0.0
398,4.349164843014763e-15
399,0.0
400,9.966440619124798e-15
401,0.0
402,0.0
403,4.2354616769641076e-15
404,1.1020169750413257e-14
405,7.407308254241035e-15
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,5.157101392974308e-15
412,0.0
413,6.669739609174829e-16
414,3.851406110727443e-15
415,7.669562892930038e-16
416,7.515379462946701e-16
417,4.4724207940833184e-15
418,0.0
419,4.7498815889505424e-17
420,0.0
421,1.501827076966951e-15
422,0.0
423,4.548446171824394e-15
424,1.2625043515890904e-15
425,0.0
426,0.0
427,1.1850628753910679e-14
428,6.490367203853253e-16
429,0.0
430,1.0518072070667803e-14
431,3.5199328780023248e-15
432,8.171505390479499e-16
433,0.0
434,9.136683465988414e-16
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,4.3702825675134694e-15
441,1.014568603165901e-14
442,4.117965716196857e-15
443,0.0
444,0.0
445,7.565729967192853e-16
446,3.907146253369973e-15
447,0.0
448,0.0
449,3.555273399903696e-15
450,3.678445601825287e-15
451,0.0
452,0.0
453,2.084130963801838e-15
454,4.848870103919237e-15
455,6.535807202711193e-16
456,1.3485839377630796e-14
457,0.0
458,2.1153067562726249e-16
459,0.0
460,1.0162765144845311e-15
461,8.77243074929785e-16
462,0.0
463,0.0
464,0.0
465,7.890848764021534e-15
466,3.4219676962549013e-15
467,2.9851141660008516e-15
468,5.985707948911125e-15
469,1.1679415569544267e-14
470,4.4527553144873606e-15
471,8.75882623752854e-15
472,0.0
473,0.0
474,7.307407610012056e-15
475,3.752406154635701e-15
476,4.600158534195028e-15
477,5.558249048509454e-16
478,8.707359963085268e-15
479,1.501579154767746e-16
480,0.0
481,8.307415172086294e-15
482,0.0
483,0.0
484,2.045510356269866e-15
485,6.8484820108152405e-15
486,4.738002217048969e-15
487,0.0
488,1.3502776865931497e-14
489,0.0
490,1.2945527663531826e-14
491,0.0
492,8.545189312466559e-16
493,5.134705545426539e-15
494,4.169118457230184e-15
495,1.456238399561521e-15
496,4.354146142324925e-15
497,0.0
498,3.6635434169712506e-16
499,0.0
500,7.350142613250898e-15
501,0.0
502,0.0
503,0.0
504,1.201386530336178e-14
505,0.0
506,0.0
507,0.0
508,4.688199030532895e-15
509,1.974515206576931e-15
510,0.0
511,6.154565570335303e-15
512,1.2065971786054296e-15
513,0.0
514,1.1440759399242509e-14
515,0.0
516,0.0
517,9.414815109025626e-15
518,3.938240766478324e-15
519,0.0
520,0.0
521,0.0
522,0.0
523,5.728485912758376e-15
524,3.941407425075065e-15
525,0.0
526,0.0
527,0.0
528,1.1546877711104689e-15
529,3.39124899066286e-17
530,8.72013551183605e-15
531,0.0
532,0.0
533,0.0
534,2.0241075552178985e-15
535,1.4531806913125665e-15
536,0.0
537,3.3286474460437567e-15
538,0.0
539,0.0
540,1.1990328610914418e-14
541,2.8570905781339704e-15
542,0.0
543,0.0
544,0.0
545,1.374943448142608e-15
546,2.286560650276172e-15
547,9.671964585916384e-15
548,6.640803050951041e-15
549,2.671965396057282e-15
550,7.31811262299569e-15
551,4.440045196897643e-15
552,0.0
553,0.0
554,6.876777215964656e-15
555,4.16701137243779e-15
556,0.0
557,0.0
