Wavelength;Spectral_irradiance
380.0;0.7030
381.0;0.7398
382.0;0.5905
383.0;0.4633
384.0;0.5168
385.0;0.6495
386.0;0.6310
387.0;0.6460
388.0;0.6345
389.0;0.6885
390.0;0.7873
391.0;0.8400
392.0;0.7770
393.0;0.4993
394.0;0.5125
395.0;0.7875
396.0;0.7288
397.0;0.5068
398.0;0.8320
399.0;1.060
400.0;1.114
401.0;1.159
402.0;1.190
403.0;1.168
404.0;1.174
405.0;1.150
406.0;1.121
407.0;1.109
408.0;1.154
409.0;1.198
410.0;1.088
411.0;1.164
412.0;1.225
413.0;1.195
414.0;1.186
415.0;1.220
416.0;1.251
417.0;1.226
418.0;1.184
419.0;1.201
420.0;1.151
421.0;1.249
422.0;1.248
423.0;1.215
424.0;1.215
425.0;1.240
426.0;1.210
427.0;1.176
428.0;1.168
429.0;1.074
430.0;0.8893
431.0;0.8680
432.0;1.243
433.0;1.229
434.0;1.156
435.0;1.241
436.0;1.349
437.0;1.365
438.0;1.235
439.0;1.199
440.0;1.325
441.0;1.344
442.0;1.411
443.0;1.433
444.0;1.413
445.0;1.434
446.0;1.351
447.0;1.469
448.0;1.499
449.0;1.508
450.0;1.559
451.0;1.595
452.0;1.535
453.0;1.456
454.0;1.516
455.0;1.528
456.0;1.565
457.0;1.575
458.0;1.551
459.0;1.531
460.0;1.529
461.0;1.574
462.0;1.590
463.0;1.593
464.0;1.554
465.0;1.536
466.0;1.548
467.0;1.508
468.0;1.551
469.0;1.553
470.0;1.511
471.0;1.536
472.0;1.593
473.0;1.559
474.0;1.565
475.0;1.598
476.0;1.568
477.0;1.575
478.0;1.610
479.0;1.596
480.0;1.608
481.0;1.611
482.0;1.616
483.0;1.599
484.0;1.573
485.0;1.525
486.0;1.325
487.0;1.416
488.0;1.514
489.0;1.483
490.0;1.591
491.0;1.558
492.0;1.504
493.0;1.571
494.0;1.566
495.0;1.619
496.0;1.574
497.0;1.581
498.0;1.555
499.0;1.549
500.0;1.535
501.0;1.496
502.0;1.499
503.0;1.538
504.0;1.478
505.0;1.554
506.0;1.604
507.0;1.554
508.0;1.524
509.0;1.566
510.0;1.549
511.0;1.571
512.0;1.594
513.0;1.526
514.0;1.491
515.0;1.525
516.0;1.504
517.0;1.318
518.0;1.411
519.0;1.413
520.0;1.505
521.0;1.533
522.0;1.545
